"Class","FriendlyName","Status","Problem","InstanceId","Service","ProblemCode","ProblemStatus","InfPath","DriverVersion"
"System","Qualcomm Temperature Sensor Device","Error","CM_PROB_FAILED_ADD","ACPI\QCOM0C5A\64","qcpep","31","3221225486","oem89.inf","1.0.4478.2200"
"Monitor","Generic Monitor (MNE007QS3-A)","Unknown","CM_PROB_PHANTOM","DISPLAY\CSW1458\1&8713BCA&0&UID0","monitor",,,"monitor.inf","10.0.28000.1896"
"System","Qualcomm(R) Analog-to-Digital Converter Device","Error","CM_PROB_FAILED_START","ACPI\QCOM0C11\0","qcADC","10","3221225473","oem4.inf","1.0.4160.6000"
"System","Qualcomm(R) Bus Device","Error","CM_PROB_FAILED_ADD","ACPI\QCOM0C16\F","qcuart","31","3221225531","oem79.inf","1.0.4160.6000"
"System","Qualcomm(R) Secure Processor Subsystem Device","Error","CM_PROB_FAILED_ADD","ACPI\QCOM0C8D\2&DABA3FF&0","qcsubsys","31","3221225531","oem70.inf","2.0.4478.2200"
"System","Qualcomm Modem skin Policy Device","Error","CM_PROB_FAILED_ADD","ACPI\VEN_QCOM&DEV_0CF9&SUBSYS_CRD08380&REV_0100\0","qcpep","31","3221225486","oem89.inf","1.0.4478.2200"
"Volume","Volume","Unknown","CM_PROB_PHANTOM","STORAGE\VOLUME\{AC2B8209-11B3-11F1-8AB6-C51314909589}#0000000000100000","volume",,,"volume.inf","10.0.28000.1"
"Net","WAN Miniport (PPPOE)","Unknown","CM_PROB_PHANTOM","SWD\MSRRAS\MS_PPPOEMINIPORT","RasPppoe",,,"netrasa.inf","10.0.28000.1"
"System","Qualcomm Fan EC Interface Device","Error","CM_PROB_FAILED_ADD","ACPI\QCOM0D05\0","qcpep","31","3221225486","oem89.inf","1.0.4478.2200"
"System","Qualcomm Temperature Sensor Device","Error","CM_PROB_FAILED_ADD","ACPI\QCOM0CBF\1","qcpep","31","3221225486","oem89.inf","1.0.4478.2200"
"Volume","Volume","Unknown","CM_PROB_PHANTOM","STORAGE\VOLUME\{AC2B8209-11B3-11F1-8AB6-C51314909589}#000000201CDB4000","volume",,,"volume.inf","10.0.28000.1"
"SoftwareDevice","Microsoft RRAS Root Enumerator","Unknown","CM_PROB_PHANTOM","SWD\MSRRAS\{5E259276-BC7E-40E3-B93B-8F89B5F3ABC0}",,,,"c_swdevice.inf","10.0.28000.1"
"HIDClass","HID Button over Interrupt Driver","Error","CM_PROB_FAILED_START","ACPI\ACPI0011\0","hidinterrupt","10","3221225630","hidinterrupt.inf","10.0.28000.1896"
"System","Qualcomm NSP limits Policy Device","Error","CM_PROB_FAILED_ADD","ACPI\VEN_QCOM&DEV_0CF8&SUBSYS_CRD08380&REV_0100\0","qcpep","31","3221225486","oem89.inf","1.0.4478.2200"
